Library name,Address 1,Postcode,URL
,9a Main Street ,EH25 9LD,https://www.midlothian.gov.uk/directory_record/65/roslin_library
,Castlegate,TD8 6AS,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/jedburgh_library_contact_centre(1).aspx
,Mayfield Centre,FK7 0DB,http://my.stirling.gov.uk/facilities/view/79
AK Bell Library,York Place,PH2 8EP,http://www.culturepk.org.uk/your-local-library/ak-bell-library/
Aberchirder Library,111 Main Street ,AB54 7TB,https://www.aberdeenshire.gov.uk/libraries/
Aberdeen Central Library,Rosemount Viaduct,AB25 1GW,http://www.aberdeencity.gov.uk/Library_Service/Services/lib_communitylibraries.asp
Aberdour Library,Aberdour Community Centre,KY3 0TR,http://onfife.com/venues/aberdour-library
Aberlour Library,94 High Street,AB38 9QA,http://www.moray.gov.uk/moray_standard/page_39958.html
Aboyne Library,Community Centre,AB34 5JN,https://www.aberdeenshire.gov.uk/libraries/
Abronhill Library,17 Pine Road,G67 3BE,https://culturenl.co.uk/libraries/your-library/abronhill-library/
Achilltibuie Library,Coigach Community Hall,IV26 2YG,https://www.highlifehighland.com/libraries/achiltibuie-library/
Airdrie Library,Wellwynd ,ML6 0AG,https://culturenl.co.uk/libraries/your-library/airdrie-library/
Airyhall Library,Springfield Road,AB15 7RF,http://www.aberdeencity.gov.uk/Library_Service/Services/lib_communitylibraries.asp
Alexandria Library,Gilmour Street,G83 0DA,http://www.west-dunbarton.gov.uk/libraries/library-branches/alexandria-library/
Alford Library,Alford Community Campus,AB33 8TY,https://www.aberdeenshire.gov.uk/libraries/
Alloa Speirs Centre,Primrose Place,FK10 1AD,http://www.clacksweb.org.uk/culture/alloaspeirscentre/
Alloway Library,Doonholm Road,KA7 4QQ,https://www.south-ayrshire.gov.uk/libraries/branches/alloway-library.aspx
Almondbank Library,Almondbank Centre,EH54 5EH,https://www.westlothian.gov.uk/article/2096/Almondbank-Library-Craigshill
Alness Library,High St,IV17 0QB,https://www.highlifehighland.com/libraries/alness-library/
Alva Community Centre Access Point,153 West Stirling Street,FK12 2EL,http://www.clacksweb.org.uk/culture/alvacap/
Alyth Library,Airlie Street,PH11 8AJ,http://www.culturepk.org.uk/your-local-library/alyth-library/
Annan Library,Charles Street ,DG12 5AG,http://www.dumgal.gov.uk/article/15393/DG-Customer-Services---Annan-Library
Anniesland Library,833 Crow Road,G13 1LE,http://www.glasgowlife.org.uk/libraries/your-local-library/anniesland-library/Pages/home.aspx
Arbroath Library,Hill Terrace ,DD11 1AH,http://www.angus.gov.uk/libraries
Ardersiere Library,Station Road,IV2 7SU,https://www.highlifehighland.com/libraries/ardersier-library/
Ardler Community Library,Turnberry Avenue ,DD2 3TP,http://www.leisureandculturedundee.com/ardler-community-library
Ardnamurchan Community Library,Anaheilt,PH36 4JA,https://www.highlifehighland.com/libraries/ardnamurchan-community-library/
Ardrossan Library,39 Princes Street,KA22 8BT,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000076
Armadale Library,North Street ,EH48 3QB,https://www.westlothian.gov.uk/article/2215/Armadale-Library
Arran Library,Main Street,KA27 8DL,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000077
Arthurstone Community Library,5 Arthurstone Terrace,DD4 6RT,http://www.leisureandculturedundee.com/arthurstone-community-library
Auchinleck Library,Well Road ,KA18 2JY,http://eastayrshireleisure.com/index.php?a=venuedetail&id=6&venueid=39
Auchterarder Library,Chapel Wynd,PH3 1BL,http://www.culturepk.org.uk/your-local-library/auchterarder-library/
Auchtermuchty Library,Town Hall,KY14 7AP,http://onfife.com/venues/auchtermuchty-library
Aviemore Library,Muirton,PH22 1SF,https://www.highlifehighland.com/libraries/aviemore-library/
Badenoch Library,Badenoch Centre,PH21 1EH,https://www.highlifehighland.com/libraries/badenoch-library/
Balerno Library,1 Main Street,EH14 7EQ,https://www.edinburgh.gov.uk/directory_record/5054/balerno_library
Balfron Library,Buchanan Street,G63 0TW,http://my.stirling.gov.uk/facilities/view/64
Balgreen Library,173 Balgreen Road,EH11 3AT,https://www.edinburgh.gov.uk/directory_record/5055/balgreen_library
Ballantrae Library,The Hall,KA26 0NB,https://www.south-ayrshire.gov.uk/libraries/branches/ballantrae-library.aspx
Ballater Library,Station Square,AB35 5QB,https://www.aberdeenshire.gov.uk/libraries/
Ballieston Library,141 Main Street,G69 6AA,http://www.glasgowlife.org.uk/libraries/your-local-library/baillieston-library/Pages/home.aspx
Balloch Library,Carrochan Road,G83 8BW,http://www.west-dunbarton.gov.uk/libraries/library-branches/balloch-library/
Balmedie Library,Elgie Road,AB23 8YF,https://www.aberdeenshire.gov.uk/libraries/
Baltasound Community Library,Baltasound Junior High School,ZE2 9DY,http://www.shetland-library.gov.uk/OpeningHours.asp
Banchory Library,Bridge Street,AB31 5SU,https://www.aberdeenshire.gov.uk/libraries/
Banff Library,High Street,AB45 1AE,http://www.aberdeenshire.gov.uk/libraries/index.asp
Bannockburn Library,38 Quakerfield,FK7 8HS,http://my.stirling.gov.uk/facilities/view/65
Barmulloch Library,46 Wallacewell Quadrant,G21 3PX,http://www.glasgowlife.org.uk/libraries/your-local-library/barmulloch-library/Pages/home.aspx
Barrhead Foundry Library,Main Street,G78 1SW,http://www.ercultureandleisure.org/foundry-library
Bathgate (Simpson) Library ,Bathgate Partnership Centre,EH48 1TS,https://www.westlothian.gov.uk/article/2228/Simpson-Library-Bathgate
Bearsden Library,Bearsden Community Hub,G61 3QT,http://www.edlc.co.uk/libraries/your-local-library/bearsden
Beauly Library,Station Road,IV4 7EH,https://www.highlifehighland.com/libraries/beauly-library/
Beith Library,39-41 Main Street,KA15 2AD,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000079
Bellfield Library,79 Whatriggs Road,KA1 3RB,http://eastayrshireleisure.com/index.php?a=venuedetail&id=6&venueid=40
Bellshill Cultural Centre Library,John Street,ML4 1RJ,https://culturenl.co.uk/libraries/your-library/bellshill-cultural-centre/
Benarty Library,Benarty Centre,KY5 8JH,http://onfife.com/venues/benarty-library
Bettyhill Library and Service Point,Naver Teleservice Centre,KW14 7SS,https://www.highlifehighland.com/libraries/bettyhill-library-and-service-point/
Biggar Library,Market Road,ML12 6FX,http://www.slleisureandculture.co.uk/info/74/biggar_library/142/contact_details
Birnam Library,Station Road,PH8 0DS,http://www.culturepk.org.uk/your-local-library/birnam-library/
Bishopbriggs Library,170 Kirkintilloch Road ,G64 2LX,http://www.edlc.co.uk/libraries/your-local-library/bishopbriggs
Bishopton Library,11 Greenock Road,PA7 5JW,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19
Blackburn Connected,Mill Centre,EH47 7LQ,https://www.westlothian.gov.uk/article/2229/Blackburn-Connected
Blackhall Library,56 Hillhouse Road ,EH4 5EG,https://www.edinburgh.gov.uk/directory_record/5056/blackhall_library
Blackness Community Library,225 Perth Road,DD2 1EJ,http://www.leisureandculturedundee.com/blackness-community-library
Blackridge Library,Craig Inn Centre,EH48 3SP,https://www.westlothian.gov.uk/article/2230/Blackridge-Library
Blackwood & Kirkmuirhill Library,Blackwood Primary School ,ML11 9SB,http://www.slleisureandculture.co.uk/info/453/blackwood_and_kirkmuirhill
Blairgowrie Library,46A Leslie Street,PH10 6AW,http://www.culturepk.org.uk/your-local-library/blairgowrie-library/
Blantyre Library,1A Clydeview Shopping Centre ,G72 0QD,http://www.slleisureandculture.co.uk/info/75/blantyre_library/155/contact_details
Bo'ness Library,Scotland's Close,EH51 0AH,http://www.falkirkcommunitytrust.org/venues/boness-library/
Boddam Library,26 Queens Road,AB42 3AX,https://www.aberdeenshire.gov.uk/libraries/
Bonar Bridge Library,West End,IV24 3EA,https://www.highlifehighland.com/libraries/bonar-bridge-library/
Bonnybridge Library,Bridge Street,FK4 1AD,http://www.falkirkcommunitytrust.org/venues/bonnybridge-library/
Bothwell Lilbrary,The Donald Institute ,G71 8RG,http://www.slleisureandculture.co.uk/info/76/bothwell_library
Bourtreehill Library,Cheviot Way ,KA11 1JU,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000080
Bracoden Library,Bracoden School,AB45 3HA,https://www.aberdeenshire.gov.uk/libraries/
Breadalbane Community Library,Breadalbane Community Campus,PH15 2DU,http://www.culturepk.org.uk/your-local-library/breadalbane-community-library/
Brechin Library,St Ninian's Square ,DD9 7AD,http://www.angus.gov.uk/libraries
Bridge of Allan Library,Fountain Road,FK9 4AT,http://my.stirling.gov.uk/facilities/view/66
Bridge of Don Library,Scotstown Road ,AB22 8HH,http://www.aberdeencity.gov.uk/Library_Service/Services/lib_communitylibraries.asp
Bridge of Weir Library,Cargill Hall,PA11 3LJ,https://libcat.renfrewshire.gov.uk/iguana/www.main.cls?v=96c85272-ef02-4d78-8ef0-f831bf46dc19
Bridgeton Library,The Olympia Building,G40 2QH,http://www.glasgowlife.org.uk/libraries/your-local-library/bridgeton-library/Pages/home.aspx
Broadford Library,Broadford,IV49 9AB,https://www.highlifehighland.com/libraries/broadford-library/
Brora Library and Cultural Centre,Gower St,KW9 6PD,https://www.highlifehighland.com/libraries/brora-library-and-cultural-centre/
Broughty Ferry Community Library,Queen Street,DD5 2HN,http://www.leisureandculturedundee.com/broughty-ferry-community-library
Broxburn Library,Strathbrock Partnership Centre,EH52 5LH,https://www.westlothian.gov.uk/article/2234/Broxburn-Library
Buckhaven Library,Buckhaven Museum,KY8 1LD,http://onfife.com/venues/buckhaven-museum
Buckie Library,Cluny Place ,AB56 1HB,http://www.moray.gov.uk/moray_standard/page_39960.html
Bucksburn Community Library,Kepplehills Road,AB21 9DG,http://www.aberdeencity.gov.uk/Library_Service/Services/lib_communitylibraries.asp
Burghead Library,Burghead Primary School,IV30 5UQ,http://www.moray.gov.uk/moray_standard/page_39961.html
Burnbank Library,Burnbank Centre,ML3 0NA,http://www.slleisureandculture.co.uk/info/77/burnbank_library/166/contact_details
Burns House Museum & Library,Kay Park ,KA5 5BZ,http://eastayrshireleisure.com/index.php?a=landing&id=6&sid=140&mid=163
Burntisland Library,102 High Street,KY3 9AS,http://onfife.com/venues/burntisland-library-museum
Busby Library,Main Street,G76 8DX,http://www.ercultureandleisure.org/busbylibrary
Cadham Library,Cadham Neighbourhood Centre,KY7 6RU,http://onfife.com/venues/cadham-library
Cairnbulg Library,Station Road,AB43 8WQ,https://www.aberdeenshire.gov.uk/libraries/
Callander Library,South Church Street,FK17 8BN,http://my.stirling.gov.uk/facilities/view/67
Cambusbarron Library,Community Centre,FK7 9NU,http://my.stirling.gov.uk/facilities/view/68
Cambuslang Library,Cambuslang Gate ,G72 7EX,http://www.slleisureandculture.co.uk/info/79/cambuslang_library
Campbeltown Library,Kinloch Road ,PA28 6EG,https://www.argyll-bute.gov.uk/library/campbeltown-library
Caol Library,Glenkingie St,PH33 7DP,https://www.highlifehighland.com/libraries/caol-library/
Cardenden Library,Carden Avenue,KY5 0EL,http://onfife.com/venues/cardenden-library
Cardonald Library,1113 Mosspark Drive,G52 3BU,http://www.glasgowlife.org.uk/libraries/your-local-library/cardonald-library/Pages/home.aspx
Cardross Library,Main Street,G82 5PX,https://www.argyll-bute.gov.uk/library/cardross-library
Carluke Library,Carnwath Road,ML8 4DF,http://www.slleisureandculture.co.uk/info/80/carluke_library
Carmondean Connected,Carmondean Centre ,EH54 8PT,https://www.westlothian.gov.uk/article/2237/Carmondean-Connected-Deans
Carnegie Library,12 Main Street,KA8 8EB,https://www.south-ayrshire.gov.uk/libraries/branches/carnegie-library.aspx
Carnoustie Library,21 High Street ,DD7 6AN,http://www.angus.gov.uk/directory_record/167/carnoustie_library
Castle Douglas Library & Customer Service Centre,Market Hill ,DG7 1AE,http://www.dumgal.gov.uk/article/15395/DG-Customer-Services---Castle-Douglas
Castlebay Library,Castlebay School,HS9 5XD,http://www.cne-siar.gov.uk/library/libraries/castlebay.asp
Castlemilk Library,100 Castlemilk Drive,G45 9TN,http://www.glasgowlife.org.uk/libraries/your-local-library/castlemilk-library/Pages/home.aspx
Cathkin Library,21 Lovat Place ,G73 5HS,http://www.slleisureandculture.co.uk/info/81/cathkin_library
Central Library,Wallace Place,PA15 1JB,https://www.inverclyde.gov.uk/community-life-and-leisure/libraries/about-our-libraries/library-locations
Chapelhall Library,2 Honeywell Crescent,ML6 8XW,https://culturenl.co.uk/libraries/your-library/chapelhall-library/
Charleston Community Library,Charles Street,DD2 4NL,http://www.dumgal.gov.uk/index.aspx?articleid=1392
Chryston Library,Chryston Cultural Centre ,G69 9DL,https://culturenl.co.uk/libraries/your-library/chryston-library/
Clarkston Library,Clarkston Road,G76 8NE,http://www.ercultureandleisure.org/clarkstonlibrary
Cleland Library,Main St,ML1 5QW,https://culturenl.co.uk/libraries/your-library/cleland-library/
Clydebank Library,Dumbarton Road,G81 1XH,http://www.west-dunbarton.gov.uk/libraries/library-branches/clydebank-library/
Coatbridge Library,The Buchanan Centre ,ML5 3BJ,https://culturenl.co.uk/libraries/your-library/coatbridge-library/
Coldside Community Library,150 Strathmartine Road,DD3 7SE,http://www.leisureandculturedundee.com/coldside-community-library
Coldstream Library Contact Centre,Gateway Centre,TD12 4AE,http://www.liveborders.org.uk/libraries_and_archives(1)/libraries/find_your_nearest_library/coldstream_library_contact_centre(1).aspx
Colinton Library,14 Thorburn Road ,EH13 0BQ,https://www.edinburgh.gov.uk/directory_record/5057/colinton_library
Comrie Library,Drummond Street,PH6 2DS,http://www.culturepk.org.uk/your-local-library/comrie-library/
Condorrat Library,North Road ,G68 9AE,https://culturenl.co.uk/libraries/your-library/condorrat-library/
Cornhill Library,Cornhill Drive ,AB16 5UT,http://www.aberdeencity.gov.uk/Library_Service/Libraries_Menu.asp
Corstorphine Library,12 Kirk Loan ,EH12 7HD,https://www.edinburgh.gov.uk/directory_record/5058/corstorphine_library
Coupar Angus Library,Town Hall,PH13 9AE,http://www.culturepk.org.uk/your-local-library/coupar-angus-library/
Couper Institute Library,84 Clarkston Road,G44 3DA,http://www.glasgowlife.org.uk/libraries/your-local-library/couper-institute/Pages/default.aspx
Cove Library,Loirston Avenue,AB12 3HE,http://www.aberdeencity.gov.uk/Library_Service/Libraries_Menu.asp
Cowdenbeath Library,41 High Street,KY4 9QA,http://onfife.com/venues/cowdenbeath-library
Cowie Library,Burns Terrace,FK7 7BS,http://my.stirling.gov.uk/facilities/view/70
Craighead Library,Craighead Road ,G66 8DL,http://www.edlc.co.uk/libraries/your-local-library/craighead
Craigmillar Library,101 Niddrie Mains Road,EH16 4DS,https://www.edinburgh.gov.uk/directory_record/5059/craigmillar_library
Cromarty Library,Hugh Miller Institute,IV11 8XA,https://www.highlifehighland.com/libraries/cromarty-library/
Crosshouse Library,Crosshouse Area Centre,KA2 0LE,http://eastayrshireleisure.com/index.php?a=venuedetail&id=6&venueid=42
Cruden Bay Library,Station Road,AB42 0NL,https://www.aberdeenshire.gov.uk/libraries/
Cullen Library,Seafield Road,AB56 4AF,http://www.moray.gov.uk/moray_standard/page_39962.html
Culloden Library,Keppoch Rd,IV2 7LL,https://www.highlifehighland.com/libraries/culloden-library/
Cults Library,429 North Deeside Road,AB15 9SX,http://www.aberdeencity.gov.uk/Library_Service/Libraries_Menu.asp
Cumbernauld Library,8 Allander Walk,G67 1EE,https://culturenl.co.uk/libraries/your-library/cumbernauld-library/
Cumnock Library,Rothesay House ,KA18 1LH,http://eastayrshireleisure.com/index.php?a=venuedetail&id=6&venueid=43
Cupar Library,33-35 Crossgate,KY15 5AS,http://onfife.com/venues/cupar-library
Currie Library,210 Lanark Road West,EH14 5NX,https://www.edinburgh.gov.uk/directory_record/5060/currie_library
Dalbeattie Library & Customer Service Centre,High Street,DG5 4AD,http://www.dumgal.gov.uk/article/15396/DG-Customer-Services---Dalbeattie
Dalgety Library,Regents Way,KY11 9UY,http://onfife.com/venues/dalgety-bay-library
Dalkeith Library,2 White Hart Street,EH22 1AE,https://www.midlothian.gov.uk/directory_record/58/dalkeith_library
Dalmuir Library,Lennox Place,G81 4LX,http://www.west-dunbarton.gov.uk/libraries/library-branches/dalmuir-library/
Dalry Library,Main Street,DG7 3UP,http://www.dumgal.gov.uk/article/15397/DG-Customer-Services---Dalry-Library
Dalry Library,14 The Cross,KA24 5AW,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000081
Danderhall Library,1a Campview,EH22 1QD,https://www.midlothian.gov.uk/directory_record/59/danderhall_library
Darvel Library,Town Hall,KA17 0AQ,http://eastayrshireleisure.com/index.php?a=venuedetail&id=6&venueid=46
Dennistoun Library,2a Craigpark,G31 2NA,http://www.glasgowlife.org.uk/libraries/your-local-library/dennistoun-library/Pages/home.aspx
Denny Library,Davies Row ,FK6 6FA,http://www.falkirkcommunitytrust.org/venues/denny-library/
Dick Institute,Elmbank Avenue,KA1 3BU,http://eastayrshireleisure.com/index.php?a=landing&id=6&sid=146&mid=169
Dingwall Community Library,Dingwall,IV15 9LT,https://www.highlifehighland.com/libraries/dingwall-community-library/
Dollar Community Access Point,Dollar Civic Centre,FK14 7AA,http://www.clacksweb.org.uk/culture/dollarcap/
Dornoch Library,High St,IV25 3SH,https://www.highlifehighland.com/libraries/dornoch-library/
Douglas Community Centre ,Balmoral Avenue ,DD4 8SD,http://www.leisureandculturedundee.com/douglas-community-library
Doune Library,Main Street,FK16 8BJ,http://my.stirling.gov.uk/facilities/view/71
Dreghorn Library,21 Main Street,KA11 4AQ,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000082
Drongan Library,Drongan Primary School ,KA6 7BY,http://eastayrshireleisure.com/index.php?a=landing&id=6&sid=147&mid=170
Drumbrae Library Hub,81 Drum Brae Drive ,EH4 7FE,https://www.edinburgh.gov.uk/directory_record/5758/drumbrae_library_hub
Drumchapel Library,65 Hecla Avenue,G15 8LX,http://www.glasgowlife.org.uk/libraries/your-local-library/drumchapel-library/Pages/home.aspx
Drymen Library,The Square,G63 0BL,http://my.stirling.gov.uk/facilities/view/72
Dufftown Library,Balvenie Street,AB55 4AB,http://www.moray.gov.uk/moray_standard/page_39963.html
